ID_Experience,Entreprise,Poste,Date_Debut,Date_Fin,Description,Technologies_Utilisees,Realisations
1,RH Tech Aix-en-Provence,Data Analyst / Analytics Engineer - GoJob core/SaaS,2024-01,2026-12,Conception et maintenance de pipelines et modèles de données pour garantir une source unique et fiable d'information. Création de dashboards et suivi de performances avec formation des end users. Optimisation d'un agent conversationnel LLM. Pilotage d'un appel d'offres stratégique pour le changement de provider SMS.,SQL;Airbyte;DBT;Python;BigQuery;Looker Studio;Power BI;Hex;GPT-4.1,Optimisation agent LLM: +20% taux de réponse; +2 taux de drop; satisfaction utilisateur améliorée. Réduction de 30% des coûts SMS (2e poste de dépense). Formation des end users à la lecture et l'utilisation des tableaux de bords.
2,FoodTech Avignon,Co-fondateur - Foodymix,2021-01,2023-12,Création et développement d'une start-up foodtech spécialisée dans la livraison de panier recette (vision produit stratégie création du site).,Entrepreneuriat;Stratégie;Développement produit;Web,Création et développement d'une start-up foodtech spécialisée dans la livraison de panier recette
3,Tamanaco Shop - Antibes,Gérant d'un commerce,2009-01,2022-12,Gestion complète d'un commerce touristique (stratégie commerciale comptabilité relation clients gestion des stocks).,Gestion commerciale;Comptabilité;Relation client;Gestion des stocks,Gestion complète d'un commerce touristique pendant 13 ans
